route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"0082","36","1","82 | Romillé Langan Chap. Béch. Miniac","","0","1366942","","1",""
"0072","41","11719","72 | Chartres Pont-Péan","","0","1372339","","1",""
"0074","35","1172","74 | Orgères Bourgbarré","","0","1366870","","1",""
"0072","43","11720","72 | Chartres Pont-Péan","","0","1372084","","1",""
"0072","13","11721","72 | Chartres Pont-Péan","","0","1361959","","1",""
"0072","17","11722","72 | Chartres Pont-Péan","","0","1361314","","1",""
"0072","21","11723","72 | Chartres Pont-Péan","","0","1361480","","1",""
"0072","35","11724","72 | Chartres Pont-Péan","","0","1366783","","1",""
"0072","41","11725","72 | Chartres Pont-Péan","","0","1372230","","1",""
"0072","43","11726","72 | Chartres Pont-Péan","","0","1371975","","1",""
"0072","13","11727","72 | Chartres Pont-Péan","","0","1362030","","1",""
"0072","17","11728","72 | Chartres Pont-Péan","","0","1361247","","1",""
"0072","21","11729","72 | Chartres Pont-Péan","","0","1361552","","1",""
"0074","41","1173","74 | Orgères Bourgbarré","","0","1372314","","1",""
"0072","35","11730","72 | Chartres Pont-Péan","","0","1366853","","1",""
"0072","41","11731","72 | Chartres Pont-Péan","","0","1372378","","1",""
"0072","43","11732","72 | Chartres Pont-Péan","","0","1372123","","1",""
"0072","13","11733","72 | Chartres Pont-Péan","","0","1362028","","1",""
"0072","17","11734","72 | Chartres Pont-Péan","","0","1361394","","1",""
"0072","21","11735","72 | Chartres Pont-Péan","","0","1361549","","1",""
"0072","35","11736","72 | Chartres Pont-Péan","","0","1366851","","1",""
"0072","41","11737","72 | Chartres Pont-Péan","","0","1372296","","1",""
"0072","43","11738","72 | Chartres Pont-Péan","","0","1372041","","1",""
"0072","13","11739","72 | Chartres Pont-Péan Laillé","","0","1361907","","1",""
"0074","43","1174","74 | Orgères Bourgbarré","","0","1372059","","1",""
"0072","17","11740","72 | Chartres Pont-Péan Laillé","","0","1361224","","1",""
"0072","21","11741","72 | Chartres Pont-Péan Laillé","","0","1361428","","1",""
"0072","35","11742","72 | Chartres Pont-Péan Laillé","","0","1366732","","1",""
"0072","41","11743","72 | Chartres Pont-Péan Laillé","","0","1372200","","1",""
"0072","43","11744","72 | Chartres Pont-Péan Laillé","","0","1371945","","1",""
"0072","13","11745","72 | Chartres Pont-Péan Laillé","","0","1362029","","1",""
"0072","17","11746","72 | Chartres Pont-Péan Laillé","","0","1361395","","1",""
"0072","21","11747","72 | Chartres Pont-Péan Laillé","","0","1361550","","1",""
"0072","35","11748","72 | Chartres Pont-Péan Laillé","","0","1366852","","1",""
"0072","41","11749","72 | Chartres Pont-Péan Laillé","","0","1372297","","1",""
